,Win Today,Place Today,Unplace Today,WIN NEXT START,WIN 2nd START,WIN 3rd START,WIN 4th START,PLACE NEXT START,PLACE 2nd START,PLACE 3rd START,PLACE 4th START
Good to Yielding,0.22021328410174082,-0.07376654929953107,0.07376654930107682,0.2443806756596033,-0.20193657818415367,0.046802270928091645,0.1720496779793673,0.04977388195855247,-0.0484699077965792,0.10112556903871155,0.1565781081260548
H200 => PAR,0.16624586661173923,-0.1302142484667053,0.13021424847240295,-0.10006063965322184,-0.24758310367178432,0.07094911922943152,-0.14454894852902553,-0.07848130408825751,0.02835411937326156,-0.028458722077899876,0.01422678909714668
H200 => WINNER,-3.193039177466107,-0.015519950871863511,0.015519950875147548,0.13762845993401746,0.020277002809061827,-0.034870434334776663,0.0036253929966094424,0.030974735375480237,0.041679049723711226,-0.017275398413860134,0.047339563166131804
H600 => WINNER,3.4403501106158068,0.29019940442650227,-0.2901994044279404,-0.08817363193398964,0.04527674026027251,0.07846257259391484,0.060831713019951085,-0.03352938762883181,-0.01672550128730888,0.020076921381668306,0.03414007445611897
H62 => PAR,-0.06780909513274294,0.1137668917283717,-0.11376689171973597,0.014384752648155863,-0.0060411087778427675,-0.0589504819745904,0.1446878560643738,-0.1532650963607634,-0.008486982803605067,-0.12098690754850724,-0.05995267382008373
HFFA,0.3212802444437675,0.2110423406663259,-0.211042340671287,-0.035227934674706286,0.012455345591721614,-0.38172046416616257,-0.49741879179200865,-0.08948883419101784,-0.3644202737975431,-0.09342279755797926,-0.18754335484779094
HL200,-0.07905984657493852,-0.18573190477496782,0.18573190477127827,0.24581478576323618,-0.030191996216347106,-0.5083981817392879,-0.09302089115181711,-0.09510418710774743,-0.11410850408939201,0.2685923046854669,0.019349975578328578
HL600,-0.06328970285164373,0.0965929713454953,-0.09659297134785409,-0.20933747324444132,-0.38208087780553324,-0.8054735069475765,0.1364456135146173,-0.32663650082965445,-0.3392956275124824,-0.49807243165640785,-0.30638099141341085
HL800,-0.03563387864963275,-0.2141739365367689,0.21417393653018466,0.031037288872059084,0.36079387905113947,0.7303844733104884,-0.08777837005442064,0.05679128246089261,0.262776788337996,0.3203866501304801,0.37167916324003064
Lay P Fast,-0.10567115533423202,-0.0789927325701624,0.07899273256089676,0.02972402046950541,-0.014687825461551523,-0.30549831958803764,0.03191709237192628,0.0017267020414608156,-0.07278418242853377,-0.034731701594828635,0.0002801296158544263
MGT,0.4798390482348124,0.33495690211797435,-0.33495690211994095,-0.1571615599903209,0.3558974301969525,0.14107627694810698,0.2541606159077969,0.12012453663686928,0.05401936083706226,0.06488748629788685,0.054968345983343936
MR,0.2557614153910406,-0.2212091306041095,0.22120913059192046,0.1534012660278727,0.26941278111234596,0.23876284064472078,0.291026096892556,0.11277045307498745,0.3831676351008227,0.18588455278100535,0.23890728185202564
Make up position Mid race >= 2,0.32817164785829595,0.4376713033737118,-0.43767130337455434,0.1403880053394461,-0.00037412330700680753,0.0310035755954015,-0.05184535569608181,0.10667159300386608,0.009208158433248877,0.06701539841199664,0.010832288248723536
Make up position Stretch <= -1,-0.7723421494891246,-0.7937835442258057,0.7937835442206296,-0.06502283680817501,0.08086095448184183,-0.037382578542855156,-0.15487954685556388,-0.037018765374610074,0.03085810300489297,-0.040715483863909344,-0.0060647525854919185
Make up position Stretch <= -2,-0.4420671479092781,-1.390233159380669,1.390233159382851,-0.035188582825217814,0.06390277098131147,0.03486807790188332,-0.16239461233228236,-0.00642400900358465,0.03267344828730569,-0.006153254066029555,0.058183095229029785
Make up position Stretch <= -3,-0.22484577869116112,-2.3078302751116033,2.3078302751351965,-0.03681227542448734,-0.05808824183074604,0.0014890834425209391,-0.12136650242342259,0.023386171999561427,-0.008577584097929783,-0.06175311538088792,0.024936102481376194
Make up position Stretch <= -4,0.0730030341335179,-2.0831912714773977,2.083191271434665,-0.12661631961471062,0.05190018011903953,-0.02290950196629266,-0.21956856279293713,0.013303395445497369,0.032138618900515996,-0.04413177094036082,0.05423354454113549
Make up position Stretch >= 2,0.9904232812434216,0.4462303009690214,-0.44623030097849176,-0.1177463407888303,-0.26687507213822814,-0.07423188459916875,0.14244268467213933,0.03999904900379699,-0.15943715079806098,-0.10592874976602051,0.05303838769962501
Make up position Stretch >= 3,0.12139155383324286,0.3241222734880772,-0.3241222734917613,-0.09997556608922428,-0.18180251126237765,-0.14904197696994026,0.08451759158615818,-0.010122700600641868,-0.23244690335067228,-0.14651227347913454,0.013957956679881638
Make up position Stretch >= 4,0.5165778777555979,0.9551802919270161,-0.9551802919317675,-0.07252700951484344,-0.22735050552006705,-0.13239154874102882,0.07435533749912765,-0.05307763709427965,-0.19989580983703384,-0.12926107292375055,-0.05196400457915234
Make up position Stretch >= 5,0.12110639597952617,1.1055061925609604,-1.1055061925598413,-0.0898497966600245,-0.3888705977281815,-0.1077109964955367,0.3070310931556456,0.03684187747377012,-0.2275948626604496,-0.05755927498750938,0.21155629271811735
Make up position Stretch >= 6,0.4737336030982049,1.3808264394315424,-1.3808264394292762,-0.05624421267002958,-0.34876571534072376,-0.050288287493488196,0.22190324010678544,0.05396440918118285,-0.2161005420241014,-0.07735936484098069,0.16690273879378553
Make up position Stretch >= 7,1.0018704274299135,1.4493162825734733,-1.449316282572251,-0.08735876652379504,-0.24108991265314475,-0.05503677490948068,0.17745334842708574,0.04372505159244706,-0.160901241397564,-0.05661354949303208,0.10051672370865365
Make up position Stretch >= 8,0.8713897811885551,1.5360087326727694,-1.5360087326721557,-0.012327204253132414,-0.23835743980532756,-0.10562117774513483,0.15803474516337057,0.06354389708092714,-0.14150837643894068,-0.07479908505127054,0.12673552328588272
Make up position Stretch >= 9,1.4631444059070984,2.119923784876835,-2.119923784875652,-0.025994747918447227,-0.2613225812080312,-0.06939858172863653,0.12123251932540856,0.07086682998740325,-0.20887749342319026,-0.08352584515681918,0.08581294430309482
NM/$$$,-0.005550661527732676,-0.006394668251569741,0.006394668255752551,0.08310837887142408,0.017658104792721868,0.037968804403510206,0.429455776043666,0.04469764456382677,0.034746899601428856,-0.07051539350612399,0.09232844892724015
Odds,-0.18571479619291972,-0.1932647677877981,0.19326476779962198,-0.5981644331567132,-0.31383573773371,-0.24100391575023683,-0.27500581454356554,-0.4727194498811151,-0.32496750060498564,-0.295260130005142,-0.3414135836512002
POOR 200,-0.10438163754027831,0.28534799425091084,-0.2853479942546144,-0.045298086499223594,-0.14671449747240586,0.06834166541181945,-0.0771191378286083,0.01180423641172381,-0.013075020316850467,-0.13446208044434355,-0.04342095585094426
POOR BURST,-0.5589958652740368,-1.2182695246167887,1.2182695246043849,-0.3027391342665788,-0.24772290328506727,0.09991406741790644,0.051266733131462176,-0.07641495127295583,-0.11018858641882673,-0.00471626323428281,-0.0069055175291198425
POOR CLOSER,-0.4646362591994132,-0.13307014892962893,0.13307014894627223,0.1852714458664905,-0.09246614587759203,-0.1977221898106145,0.07695904439149981,-0.007675666590948948,-0.13699921340046203,-0.09356092663356363,-0.03418050982604113
Proven Class,0.21548655530978517,-0.012655458525397994,0.01265545852234574,-0.10101831590989174,-0.10754935290662634,-0.19438830362395412,-0.21213144994335434,-0.09630041328294549,-0.046329211103415625,-0.10530471029025969,-0.09800959828405188
RECENCY 16-22,-0.010217684859870301,-0.12284358290902112,0.12284358290793145,-0.11455892864280899,-0.08424755181378532,-0.045703151321494495,0.36753362626324465,-0.054458566716850336,-0.13138134951285643,-0.1278789285787698,-0.06680645387029303
RECENCY 23-29,0.04814806695337848,-0.16692448909812319,0.16692448909706029,-0.07071742082499197,-0.05553297612058872,-0.025183827529804775,0.27653311402240666,-0.03791905309893447,-0.07320089172807165,-0.1313808016149343,-0.10327836415893106
RECENCY 30-37,-0.01604068314253502,-0.07920508286646083,0.0792050828693933,-0.03357521622390626,-0.02829014661018119,0.017748643742301562,0.2211322032488787,-0.0552553764501256,-0.08290268483844385,-0.07918411423700755,-0.1020175411801023
RECENCY 8-15,-0.07809983203085291,-0.10372128608573716,0.1037212860832311,-0.1674955183286993,-0.028758155056012164,0.0028609210848571437,0.24832759465462195,-0.10144965147831285,-0.07916975570368198,-0.15292455206775338,-0.10378203241925439
Ran On Well,0.5562774189532058,0.0454111857406206,-0.04541118574187833,-0.4126462000231342,0.19324591340434372,-0.013659194860538343,-0.09048657885256771,-0.23043032692534385,-0.038169039034188335,-0.11309785689474114,-0.0407081092765612
S/NF*,0.04445648790119941,0.05557192808817827,-0.0555719280886869,0.0019577039594161527,-0.3256794033037526,-0.028939264016712197,-0.04904401759006985,0.016416257722341013,0.00804865150371936,-0.01621720328968412,-0.07487921568063116
SLOW 2nd Call,0.02062981501864933,0.05668865858552666,-0.05668865858156305,-0.05459248580493986,0.05604603304021392,-0.23994105490175727,0.03009948272092784,0.013668204800546433,-0.042305302819186597,-0.023925061560905164,-0.023792322729633837
SLOW SLOW,-0.05874962368319479,-0.07621093818047005,0.07621093816272759,0.07186439633193326,0.025185245631978354,-0.24336727734379132,-0.15222478138964926,0.0166302429878364,0.11413492283323294,-0.08431184753512132,0.0542589913234319
SM,0.5958873773566989,0.2888698638601307,-0.28886986386064245,0.10402357093322799,-0.8286164792007746,-0.14898276915569966,-0.2560668170039646,-0.04120036453797127,-0.353021537357402,-0.029045462760610534,-0.037636767517099816
