Feature 1,Feature 2,Interaction Score
Proven Distance,Last Race Longer Distance,0.008942597
Capable Surface,DOWN CLASS,0.008936701
2nd Up,RECENCY 8-15,0.008927867
1st Up,DOWN CLASS,0.0088888565
Inside Barrier,RECENCY 23-29,0.008886565
Middle Barrier,RECENCY 30-37,0.008882434
Early Profile,4th Up,0.008848449
3rd Up,Last Race Shorter Distance,0.0087947035
Inside Barrier,RECENCY 16-22,0.008792926
Capable Surface,RECENCY 30-37,0.008759793
Sprint,Inside Barrier,0.008716482
2nd Up,UP CLASS,0.0086828135
Early Profile,Body weight Optimal,0.008671547
2nd Up,Proven Class,0.008607971
Middle,RECENCY 23-29,0.00858763
Proven Distance,Capable Surface,0.008581948
2nd Up,Last Race Longer Distance,0.008577869
Inside Barrier,Presser Profile,0.0085720355
Middle,Inside Barrier,0.0085589085
DOWN CLASS,Last Race Shorter Distance,0.008535814
Inside Barrier,Early Presser Profile,0.008518961
Inside Barrier,Last Race Shorter Distance,0.008486942
Sprint,2nd Up,0.008483559
Early Profile,Early Presser Profile,0.008473913
Sprint,Middle Barrier,0.008335766
Outside Barrier,Capable Class,0.00829195
Middle Barrier,2nd Up,0.00827703
Sprint,Lost 2 Length Last Furlong,0.008258587
Middle,Early Profile,0.008208352
3rd Up,RECENCY 16-22,0.00820091
Proven Distance,RECENCY 16-22,0.008179644
Middle Barrier,4th Up,0.008145386
Middle,1st Up,0.008110779
Capable Class,DOWN CLASS,0.008075128
Sprint,Presser Profile,0.008072247
Sprint,Early Presser Profile,0.007984762
2nd Up,Capable Class,0.007967433
Outside Barrier,UP CLASS,0.007964854
Outside Barrier,DOWN CLASS,0.007935254
Middle Barrier,RECENCY 8-15,0.0079001635
Early Presser Profile,RECENCY 16-22,0.007864469
1st Up,Proven Class,0.007827632
Presser Profile,Proven Distance,0.0078040655
Body weight Optimal,RECENCY 30-37,0.0077916267
1st Up,Last Race Longer Distance,0.007752226
Early Profile,Capable Distance,0.0076611787
Proven Distance,Last Race Shorter Distance,0.007637601
Routes,Proven Surface,0.0075981463
Routes,Presser Profile,0.007479475
4th Up,Last Race Shorter Distance,0.007460961
Early Presser Profile,Last Race Shorter Distance,0.0074469564
2nd Up,RECENCY 16-22,0.007413231
Routes,4th Up,0.0073989797
Routes,Early Profile,0.0073930398
Proven Distance,DOWN CLASS,0.007360323
Early Profile,Proven Distance,0.007343089
Middle,RECENCY 8-15,0.007270653
Outside Barrier,Proven Surface,0.0072497036
Proven Class,RECENCY 30-37,0.0071706236
Body weight Optimal,DOWN CLASS,0.007146313
2nd Up,Capable Distance,0.0071437666
Middle,Early Presser Profile,0.0071158363
Capable Class,RECENCY 16-22,0.0071058404
Early Profile,RECENCY 16-22,0.0070817014
Capable Distance,RECENCY 38-45,0.007062949
Early Profile,RECENCY 30-37,0.006982593
Sprint,3rd Up,0.00697285
1st Up,Proven Surface,0.006929349
Routes,Body weight Optimal,0.0069152927
Early Presser Profile,Proven Surface,0.0069100875
Sustain Profile,UP CLASS,0.006893013
Presser Profile,RECENCY 30-37,0.006865412
Proven Distance,RECENCY 8-15,0.0068605626
Early Profile,RECENCY 8-15,0.006860131
Inside Barrier,RECENCY 8-15,0.006806988
Middle,Last Race Longer Distance,0.0067440965
Sustain Profile,4th Up,0.0066464506
4th Up,RECENCY 16-22,0.006600564
1st Up,Capable Distance,0.006565612
Presser Profile,RECENCY 23-29,0.0064942283
Capable Distance,DOWN CLASS,0.00643627
Inside Barrier,Outside Barrier,0.0064320266
Proven Surface,Lost 2 Length Last Furlong,0.006349675
Outside Barrier,RECENCY 8-15,0.0062183407
Middle Barrier,1st Up,0.0062054675
4th Up,RECENCY 8-15,0.006201484
Capable Class,RECENCY 8-15,0.00616285
