MR,POOR BURST,W,Outside Barrier,Make up position Stretch >= 6,HW,Capable Distance,Make up position Stretch >= 5,BO5/*.1,ELITE CLOSER,Early Profile,Sustain Profile,ELITE BURST,Middle Barrier,Good,Ran On Well,Make up position Stretch >= 9,Good to Firm,POOR CLOSER,Lay S Slow,Inside Barrier,Make up position Stretch >= 7,Make up position Stretch >= 8,H200 => PAR,Proven Class,ELITE 600,Good Run in 3,FAST EARLY,RECENCY 30-37,RECENCY 16-22,WIN NEXT START
80.5636896872206,1,2.0,1,0,1050.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
91.0559444767731,0,2.0,1,0,1039.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
75.9282956599441,1,1.0,1,0,1042.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
84.6838164405171,1,3.0,1,0,1039.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
78.4445459738822,1,1.0,1,0,1062.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
87.7900602035145,1,1.0,0,0,1054.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
93.9534352326685,1,1.0,1,0,1052.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
95.4158316366419,1,1.0,0,0,1053.0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
89.6166879529152,0,1.0,0,1,1173.0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
78.2655531367475,0,2.0,1,0,1178.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.750838043707,1,3.0,1,0,1175.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90.045910247638,0,1.0,0,0,1152.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
82.6166405158288,1,2.0,0,0,1176.0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
89.1765317045962,0,3.0,1,1,1167.0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
80.3675489754505,1,3.0,1,0,1176.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
73.6538662073973,1,2.0,0,0,1171.0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0
68.9048875237249,1,1.0,0,0,1162.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
92.3654337278707,0,2.0,0,0,1268.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
82.6549771082579,1,2.0,0,0,1231.0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
59.1146036947408,1,1.0,0,0,1263.0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
83.7342418962129,0,2.0,0,0,1258.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
88.8710884302436,0,2.0,0,0,1260.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
92.5,0,1.0,0,0,1275.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
93.1292879767848,1,2.0,0,0,1280.0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1
88.319439576192,0,2.0,0,0,1266.0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0
89.5523483444188,0,1.0,0,0,1265.0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0
88.124951365918,0,2.0,0,0,1269.0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
86.5460797429743,1,2.0,1,0,1270.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
89.6819508702475,0,3.0,1,0,1258.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
96.1528981014909,0,-145211.03003246753,1,0,1268.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
93.5,0,1.0,0,0,1072.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
97.3760947254563,0,1.0,0,0,1074.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
80.8585265919825,1,2.0,0,0,1087.0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
89.6952704892668,1,2.0,0,0,1081.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
90.349746583052,0,2.0,0,0,1063.0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
80.0566092714648,1,2.0,0,0,1053.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
86.3712392256162,0,2.0,0,0,1095.0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
86.1146829023919,1,3.0,1,0,1084.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
95.2355213742921,0,1.0,0,0,1078.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0
86.4911742222023,1,1.0,0,0,1081.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
88.5,1,2.0,1,0,1089.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
86.5,1,3.0,1,0,1072.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
81.1163432898068,1,2.0,1,0,1087.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
77.1563058237334,1,2.0,0,0,1088.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
79.4082462734143,0,4.0,1,0,1091.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
88.2876301462571,1,-145211.03003246753,0,0,1087.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0
84.1088785943125,0,1.0,1,0,1041.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
89.6429765196401,0,1.0,1,0,1033.0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
83.0104854597765,0,2.0,0,0,1046.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
86.5232921016193,0,2.0,0,0,1043.0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
89.2387044489633,0,3.0,1,0,1044.0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
84.0700604175139,0,3.0,0,0,1050.0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
91.3780118489893,0,1.0,0,0,1057.0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
94.4742512413456,0,2.0,0,1,1048.0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
98.0552971594786,0,3.0,1,0,1055.0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0
83.0551245955825,0,3.0,1,0,1040.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87.5384541846009,0,4.0,0,0,1052.0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
94.3699176938288,0,1.0,1,0,1033.0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
87.9809770596653,0,2.0,0,0,1040.0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
81.2293708105393,0,2.0,1,0,1049.0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
76.5,0,1.0,1,0,1047.0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1
83.0,0,2.0,1,0,1041.0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
90.6348932909499,0,1.0,0,0,1050.0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
95.0203858183004,0,1.0,1,0,1049.0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
